./opcode/0/5caf1deb7bbc28723f2a1af9492344fd.vir.txt
A A A A  : 0.18555008210180624
A 1 B 1  : 0.0008210180623973727
E 1 2 1  : 0.0008210180623973727
4 2 4 2  : 0.007389162561576354
2 6 9 2  : 0.0008210180623973727
2 2 4 B  : 0.0016420361247947454
F 10 1 1  : 0.0008210180623973727
4 2 1 2  : 0.0008210180623973727
2 2 2 4  : 0.028735632183908046
F F 4 10  : 0.0008210180623973727
1 2 12 1  : 0.007389162561576354
1 1 2 15  : 0.006568144499178982
12 F F F  : 0.013957307060755337
2 1 10 A  : 0.007389162561576354
A F 10 3  : 0.006568144499178982
10 A A A  : 0.003284072249589491
A A 1 2  : 0.0016420361247947454
12 1 1 1  : 0.012315270935960592
2 15 12 F  : 0.0024630541871921183
F F 2 1  : 0.011494252873563218
10 A A F  : 0.0049261083743842365
10 3 10 A  : 0.0016420361247947454
A A A 1  : 0.0024630541871921183
2 12 1 1  : 0.005747126436781609
1 2 15 12  : 0.003284072249589491
F F F 2  : 0.013957307060755337
1 10 A A  : 0.003284072249589491
F 10 3 10  : 0.003284072249589491
A 1 2 12  : 0.0008210180623973727
1 1 1 2  : 0.013957307060755337
15 12 F F  : 0.0016420361247947454
F 2 1 10  : 0.0016420361247947454
A A F 10  : 0.0016420361247947454
3 10 A A  : 0.0008210180623973727
10 A A 1  : 0.0008210180623973727
10 1 2 12  : 0.0016420361247947454
3 10 1 2  : 0.0008210180623973727
10 3 10 1  : 0.0008210180623973727
2 B 1 1  : 0.004105090311986864
1 2 2 2  : 0.006568144499178982
4 2 4 12  : 0.0008210180623973727
1B 1 1 2  : 0.0008210180623973727
4 1 4 2  : 0.0008210180623973727
6 32 1 2  : 0.0008210180623973727
4 1 1 4  : 0.0008210180623973727
2 6 32 E  : 0.0008210180623973727
1 1 4 6  : 0.0008210180623973727
7 2 1 4  : 0.0008210180623973727
1 4 2 12  : 0.0008210180623973727
1 E 2 4  : 0.0049261083743842365
10 A A 2  : 0.0016420361247947454
F 10 1 2  : 0.005747126436781609
B 1 2 2  : 0.0016420361247947454
2 4 2 4  : 0.009852216748768473
8 1E 12 F  : 0.0008210180623973727
E 2 4 10  : 0.0049261083743842365
A A 2 F  : 0.0024630541871921183
F F F 10  : 0.0008210180623973727
10 1 2 2  : 0.0008210180623973727
2 4 F 10  : 0.0008210180623973727
1 2 B 1  : 0.003284072249589491
1 1 12 2  : 0.003284072249589491
4 E 2 4  : 0.014778325123152709
2 2 12 4  : 0.0008210180623973727
2 2 2 12  : 0.0016420361247947454
4 2 12 1  : 0.0016420361247947454
1 1 2 2  : 0.008210180623973728
2 2 4 2  : 0.0180623973727422
2 4 A 2  : 0.0008210180623973727
4 B 1 E  : 0.0008210180623973727
2 4 2 2  : 0.0180623973727422
E 2 2 2  : 0.005747126436781609
2 2 2 2  : 0.0361247947454844
2 2 E 4  : 0.0008210180623973727
2 2 4 E  : 0.003284072249589491
E 4 2 2  : 0.0024630541871921183
55 5B 4 E  : 0.0008210180623973727
2 8C 4C 8D  : 0.0008210180623973727
32 2 2 4  : 0.0008210180623973727
55 5B 2 2  : 0.0024630541871921183
2 4 1 1  : 0.0024630541871921183
2 2 4 4  : 0.0016420361247947454
2 8 7 2  : 0.0024630541871921183
4 12 F F  : 0.004105090311986864
F 2 1 2  : 0.0024630541871921183
4 2 4 10  : 0.003284072249589491
A A 12 F  : 0.0049261083743842365
E 4 10 A  : 0.0008210180623973727
A F F F  : 0.0024630541871921183
