./opcode/0/351f49ccd591afe44a81d5d1bf4eca30.vir.txt
B A B A  : 0.0006469378276159511
B A A A  : 1.658814942605003e-05
A A A A  : 0.001725167540309203
A 1 B 2  : 1.658814942605003e-05
1 4 6 7  : 0.0005308207816336009
5 2 B F  : 1.658814942605003e-05
10 A A A  : 3.317629885210006e-05
A 18 10 2  : 1.658814942605003e-05
2 2 2 2  : 0.03224736248424126
2 10 2 2  : 0.0001658814942605003
10 2 2 2  : 0.00021564594253865039
2 2 2 10  : 0.0001658814942605003
9D 9D 9D 9D  : 9.952889655630017e-05
2 2 5A 5A  : 4.976444827815009e-05
5A 5A 10 9D  : 3.317629885210006e-05
5A 5A 5A 10  : 4.976444827815009e-05
9D 9D 2 2  : 3.317629885210006e-05
5A 5A 5A 5A  : 4.976444827815009e-05
5A 5A 10 3  : 1.658814942605003e-05
B B 19 3A  : 1.658814942605003e-05
9D 9D 5A 5A  : 1.658814942605003e-05
B 28 9D 5A  : 1.658814942605003e-05
2 2 10 3  : 4.976444827815009e-05
B B 19 9D  : 1.658814942605003e-05
5A B 28 2  : 1.658814942605003e-05
8 2 2 7  : 1.658814942605003e-05
10 3 2 35  : 3.317629885210006e-05
5 2 92 14  : 1.658814942605003e-05
9 2 2 92  : 1.658814942605003e-05
14 10 3 35  : 1.658814942605003e-05
3 1A 14 B  : 1.658814942605003e-05
E 2 8 2  : 1.658814942605003e-05
2 2 2 7  : 1.658814942605003e-05
5 2 D 1B  : 3.317629885210006e-05
2 2 D 1B  : 1.658814942605003e-05
10 8 9 10  : 1.658814942605003e-05
2 6 9 1B  : 3.317629885210006e-05
2 3 E 2  : 4.976444827815009e-05
2 8 23 10  : 1.658814942605003e-05
2 14 8 17  : 3.317629885210006e-05
4 2 2 14  : 1.658814942605003e-05
2 3 B A  : 1.658814942605003e-05
10 1 2 4  : 9.952889655630017e-05
1 1 1 1  : 0.004661269988720058
4 6 7 2  : 0.003997744011678057
2 2 B 2  : 0.0010616415632672019
3 2 2 3  : 0.00013270519540840023
2 3 2 2  : 0.0007962311724504014
1B 2 3 2  : 1.658814942605003e-05
F 10 12 2  : 9.952889655630017e-05
12 F 10 8  : 4.976444827815009e-05
7 A 1 4  : 3.317629885210006e-05
2 2 12 4  : 0.0003151748390949506
6 7 1 4  : 0.00026541039081680047
6 9 10 1  : 1.658814942605003e-05
1 1 1 2  : 0.011528763851104771
E 21 B 14  : 1.658814942605003e-05
4 2 6 7  : 0.0014763452989184527
2 2 1B 2  : 0.00021564594253865039
4 2 2 2  : 0.01045053413841152
2 2 2 B  : 0.0012441112069537523
2 F F F  : 0.002654103908168005
F 10 1 1  : 0.006170791586490611
1 2 3 4  : 1.658814942605003e-05
2 2 2 1  : 0.0013768164023621524
1 1 4 6  : 0.00034835113794705065
7 2 2 12  : 8.294074713025015e-05
A 1B 2 F  : 1.658814942605003e-05
F F 10 E  : 1.658814942605003e-05
35 8 1 2  : 1.658814942605003e-05
37 6 5 E  : 1.658814942605003e-05
9 2 2 2  : 0.001725167540309203
8 7 B 14  : 1.658814942605003e-05
2 2 7 2  : 3.317629885210006e-05
F 10 2 5  : 9.952889655630017e-05
B 8 37 B  : 1.658814942605003e-05
2 2 2 F  : 0.0005971733793378011
2 F 10 2  : 0.00023223409196470042
18 7 B 2  : 3.317629885210006e-05
18 7 3 1  : 1.658814942605003e-05
4 2 18 7  : 1.658814942605003e-05
1 4 A 1  : 9.952889655630017e-05
1 8 7 2  : 0.00026541039081680047
18 7 1 4  : 3.317629885210006e-05
2 18 7 1  : 6.635259770420012e-05
4 A 39 14  : 1.658814942605003e-05
7 A7 E 2  : 1.658814942605003e-05
A7 E E 2  : 1.658814942605003e-05
2 2 2 8  : 0.002272576471368854
9 2 92 14  : 3.317629885210006e-05
9 C5 2 14  : 3.317629885210006e-05
8 17 2 5  : 1.658814942605003e-05
3 E E 2  : 1.658814942605003e-05
2 4 A 5  : 8.294074713025015e-05
2 8 17 2  : 0.00018246964368655034
5 E 8 17  : 1.658814942605003e-05
2 3 3 2  : 9.952889655630017e-05
A 5 2 4  : 9.952889655630017e-05
2 6 9 2  : 0.001011877114989052
10 14 E 2  : 1.658814942605003e-05
12 2 2 2  : 0.0026375157587419547
2 2 E 5  : 0.00013270519540840023
E 2 B 3  : 1.658814942605003e-05
F F 10 2  : 0.0013768164023621524
4 A 8 37  : 1.658814942605003e-05
E 14 B 6  : 1.658814942605003e-05
9 E 2 35  : 1.658814942605003e-05
35 2 D 14  : 1.658814942605003e-05
7 14 A7 1B  : 1.658814942605003e-05
A 2 2 D  : 8.294074713025015e-05
14 7 A7 2  : 1.658814942605003e-05
A7 2 D 1B  : 1.658814942605003e-05
A 2 3 17  : 3.317629885210006e-05
1B 2 A 2  : 3.317629885210006e-05
4 2 F 10  : 0.0003649392873731007
1 1 E 2  : 0.00043129188507730077
